Name,GPS Location
Arusha CC,"{""type"":""Point"",""coordinates"":[36.6959131,-3.3705298,0]}"
Arusha,"{""type"":""Point"",""coordinates"":[36.7098615,-3.3631797,0]}"
Monduli,"{""type"":""Point"",""coordinates"":[36.4451469,-3.2975181,0]}"
Karatu,"{""type"":""Point"",""coordinates"":[35.6708358,-3.34487,0]}"
Longido,"{""type"":""Point"",""coordinates"":[36.7041273,-2.7478107,0]}"
Ngorongoro,"{""type"":""Point"",""coordinates"":[35.5635008,-2.0467169,0]}"
Meru,"{""type"":""Point"",""coordinates"":[36.86403,-3.3609164,0]}"
Dar es Salaam CC,"{""type"":""Point"",""coordinates"":[39.2866454,-6.8206275,0]}"
Kinondoni MC,"{""type"":""Point"",""coordinates"":[39.2569178,-6.806472,0]}"
Temeke MC,"{""type"":""Point"",""coordinates"":[39.2696875,-6.8550625,0]}"
Kigamboni MC,"{""type"":""Point"",""coordinates"":[39.31891325,-6.8510351,0]}"
Bahi,"{""type"":""Point"",""coordinates"":[35.3154659,-5.9428751,0]}"
Chamwino,"{""type"":""Point"",""coordinates"":[36.0235131,-6.1446633,0]}"
Kondoa,"{""type"":""Point"",""coordinates"":[35.7907104,-4.9076233,0]}"
Kongwa,"{""type"":""Point"",""coordinates"":[36.4123657,-6.1970537,0]}"
Ubungo MC,"{""type"":""Point"",""coordinates"":[39.0809276,-6.799555,0]}"
Chemba,"{""type"":""Point"",""coordinates"":[35.8898913,-5.2437285,0]}"
Mpwapwa,"{""type"":""Point"",""coordinates"":[36.4859351,-6.3485403,0]}"
Dodoma CC,"{""type"":""Point"",""coordinates"":[35.7488787,-6.1793421,0]}"
Bukombe,"{""type"":""Point"",""coordinates"":[32.0425482,-3.51089,0]}"
Chato,"{""type"":""Point"",""coordinates"":[31.7382199,-2.6299948,0]}"
Mbogwe,"{""type"":""Point"",""coordinates"":[32.1651192,-3.6423702,0]}"
Nyang'hwale,"{""type"":""Point"",""coordinates"":[32.650096,-3.2024093,0]}"
