Description,Name,GPS Location,Population within 3000 meters of GPS Location
PS0101043,Majimoto,"{""type"":""Point"",""coordinates"":[36.0075363,-3.3539155,0]}",18
PS0107029,Losoito,"{""type"":""Point"",""coordinates"":[35.4831122,-2.0876875,0]}",56
PS0101010,Engutukoiti,"{""type"":""Point"",""coordinates"":[36.7477283,-3.0463618,0]}",58
PS0106038,Kilimatinde,"{""type"":""Point"",""coordinates"":[36.57113,-3.56917,0]}",76
PS0101047,Matim,"{""type"":""Point"",""coordinates"":[36.3745156,-3.1548698,0]}",209
PS0101075,Oldendereti,"{""type"":""Point"",""coordinates"":[36.7637083,-3.7448033,0]}",209
PS0101104,Umoja,"{""type"":""Point"",""coordinates"":[36.773831,-3.7349033,0]}",292
PS0105092,Upendo,"{""type"":""Point"",""coordinates"":[36.00745,-3.28055,0]}",363
PS0103053,Kambi Ya Simba,"{""type"":""Point"",""coordinates"":[35.40816,-3.40816,0]}",380
PS0107072,Ormanie,"{""type"":""Point"",""coordinates"":[35.4451461,-2.4,0]}",432
PS0104033,Magadini,"{""type"":""Point"",""coordinates"":[36,-2.6166666,0]}",594
PS0107052,Mondoros,"{""type"":""Point"",""coordinates"":[35.49129,-1.89933,0]}",601
PS0107065,Tumaini,"{""type"":""Point"",""coordinates"":[35.68323,-2.48426,0]}",636
PS0104039,Ranch,"{""type"":""Point"",""coordinates"":[36.6666666,-2.78333333,0]}",672
PS0106035,Oltukai,"{""type"":""Point"",""coordinates"":[35.515424,-3.5135141,0]}",682
PS0104029,Emurutoto,"{""type"":""Point"",""coordinates"":[36.3666666,-2.35,0]}",693
PS0104013,Longido,"{""type"":""Point"",""coordinates"":[36.7,-2.6833333,0]}",748
PS0104015,Mundarara,"{""type"":""Point"",""coordinates"":[36.6,-2.6166666,0]}",822
PS0106042,Mbaash,"{""type"":""Point"",""coordinates"":[36.058332,-3.208522,0]}",933
PS0107054,Olalaa,"{""type"":""Point"",""coordinates"":[35.5342766,-2.4594333,0]}",941
PS0106019,Mfereji,"{""type"":""Point"",""coordinates"":[36.458279,-3.187362,0]}",954
PS0103098,Gidamilanda,"{""type"":""Point"",""coordinates"":[34.58,-3.55,0]}",962
PS0107019,Oloipiri,"{""type"":""Point"",""coordinates"":[35.436,-2.04484,0]}",990
PS0106005,Esilalei,"{""type"":""Point"",""coordinates"":[35.9537733,-3.4455081,0]}",1039
PS0103096,Mohedagew,"{""type"":""Point"",""coordinates"":[35.009404,-3.7614233,0]}",1086
PS0106045,Lemoot,"{""type"":""Point"",""coordinates"":[36.310248,-3.763849,0]}",1099
PS0106056,Laiboni,"{""type"":""Point"",""coordinates"":[35.9971582,-3.4825589,0]}",1152
