region_name,results_url,map_url
Arusha,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_01.htm,https://www.openstreetmap.org/relation/1243810
Dar es Salaam,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_02.htm,https://www.openstreetmap.org/relation/7202037
Dodoma,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_03.htm,https://www.openstreetmap.org/relation/1600852
Geita,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_24.htm,https://www.openstreetmap.org/relation/3775212
Iringa,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_04.htm,https://www.openstreetmap.org/relation/1600802
Kagera,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_05.htm,https://www.openstreetmap.org/relation/1600767
Katavi,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_25.htm,https://www.openstreetmap.org/relation/3775100
Kigoma,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_06.htm,https://www.openstreetmap.org/relation/1600842
Kilimanjaro,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_07.htm,https://www.openstreetmap.org/relation/1243795
Lindi,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_08.htm,https://www.openstreetmap.org/relation/1600807
Manyara,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_21.htm,https://www.openstreetmap.org/relation/1243808
Mara,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_09.htm,https://www.openstreetmap.org/relation/1243804
Mbeya,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_10.htm,https://www.openstreetmap.org/relation/1600771
Morogoro,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_11.htm,https://www.openstreetmap.org/relation/1600831
Mtwara,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_12.htm,https://www.openstreetmap.org/relation/1600798
Mwanza,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_13.htm,https://www.openstreetmap.org/relation/5712706
Njombe,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_26.htm,https://www.openstreetmap.org/relation/3775101
Pwani,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_14.htm,https://www.openstreetmap.org/relation/1600824
Rukwa,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_15.htm,https://www.openstreetmap.org/relation/1600839
Ruvuma,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_16.htm,https://www.openstreetmap.org/relation/1600825
Shinyanga,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_17.htm,https://www.openstreetmap.org/relation/5712716
Simiyu,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_27.htm,https://www.openstreetmap.org/relation/3775213
Singida,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_18.htm,https://www.openstreetmap.org/relation/1600775
Songwe,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_31.htm,https://www.openstreetmap.org/relation/13015687
Tabora,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_19.htm,https://www.openstreetmap.org/relation/1600809
Tanga,https://onlinesys.necta.go.tz/results/2022/psle/results/reg_20.htm,https://www.openstreetmap.org/relation/1600844
