,results_url,school_name,school_id,num_sitters,average_300,grade,WASICHANA,WAVULANA,JUMLA,region_name,council_name
42,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0101024.htm,KILIMANJARO,PS0101024,,,,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",Arusha,Arusha
182,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0102076.htm,HIGH CHALLENGE,PS0102076,,,,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",Arusha,Arusha CC
877,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0202058.htm,MAKTABA,PS0202058,,,,"[23, 62, 3, 0, 0]","[10, 60, 10, 1, 0]","[33, 122, 13, 1, 0]",Dar es Salaam,Dar es Salaam CC
909,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0202026.htm,MTENDENI,PS0202026,,,,"[24, 36, 3, 0, 0]","[16, 41, 9, 0, 0]","[40, 77, 12, 0, 0]",Dar es Salaam,Dar es Salaam CC
930,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0202028.htm,OLYMPIO,PS0202028,,,,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",Dar es Salaam,Dar es Salaam CC
1084,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0203129.htm,GREEN ACRES,PS0203129,,,,"[21, 8, 1, 0, 0]","[31, 10, 1, 0, 0]","[52, 18, 2, 0, 0]",Dar es Salaam,Kinondoni MC
1208,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0206090.htm,AL-HIKMA,PS0206090,,,,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",Dar es Salaam,Temeke MC
1238,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0206099.htm,GREAT VISION,PS0206099,,,,"[13, 5, 1, 0, 0]","[8, 5, 5, 0, 0]","[21, 10, 6, 0, 0]",Dar es Salaam,Temeke MC
1242,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0206092.htm,JB,PS0206092,,,,"[0, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]",Dar es Salaam,Temeke MC
1245,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0206131.htm,JOYLAND,PS0206131,,,,"[38, 2, 0, 0, 0]","[38, 2, 0, 0, 0]","[76, 4, 0, 0, 0]",Dar es Salaam,Temeke MC
