,results_url,school_name,school_id,num_sitters,average_300,grade,WASICHANA,WAVULANA,JUMLA,region_name,council_name
0,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0101114.htm,ALBEHIJE,PS0101114,21.0,255.0476,A,"[9, 1, 0, 0, 0]","[10, 1, 0, 0, 0]","[19, 2, 0, 0, 0]",Arusha,Arusha
1,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0101128.htm,ARUSHA VICTORY,PS0101128,13.0,282.0,A,"[6, 0, 0, 0, 0]","[7, 0, 0, 0, 0]","[13, 0, 0, 0, 0]",Arusha,Arusha
2,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0101116.htm,ASSALAF ISLAMIC,PS0101116,40.0,224.4,B,"[6, 14, 2, 0, 0]","[5, 13, 0, 0, 0]","[11, 27, 2, 0, 0]",Arusha,Arusha
3,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0101001.htm,BANGATA,PS0101001,59.0,212.7119,B,"[1, 21, 0, 0, 0]","[3, 34, 0, 0, 0]","[4, 55, 0, 0, 0]",Arusha,Arusha
4,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0101154.htm,BLUE BELL,PS0101154,14.0,254.0714,A,"[3, 3, 0, 0, 0]","[7, 1, 0, 0, 0]","[10, 4, 0, 0, 0]",Arusha,Arusha
5,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0101003.htm,BWAWANI,PS0101003,53.0,164.8868,C,"[0, 6, 24, 0, 0]","[0, 9, 13, 1, 0]","[0, 15, 37, 1, 0]",Arusha,Arusha
6,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0101143.htm,DEANERY,PS0101143,26.0,238.9615,B,"[5, 7, 0, 0, 0]","[6, 8, 0, 0, 0]","[11, 15, 0, 0, 0]",Arusha,Arusha
7,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0101135.htm,DINKA,PS0101135,13.0,231.2308,B,"[2, 2, 0, 0, 0]","[4, 4, 1, 0, 0]","[6, 6, 1, 0, 0]",Arusha,Arusha
8,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0101123.htm,EBENEZER,PS0101123,8.0,197.125,B,"[0, 4, 0, 0, 0]","[0, 2, 2, 0, 0]","[0, 6, 2, 0, 0]",Arusha,Arusha
9,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0101005.htm,EKENYWA,PS0101005,131.0,148.9847,C,"[0, 9, 47, 8, 0]","[0, 12, 43, 12, 0]","[0, 21, 90, 20, 0]",Arusha,Arusha
10,https://onlinesys.necta.go.tz/results/2022/psle/results/shl_ps0101006.htm,EMAOI,PS0101006,105.0,163.6095,C,"[0, 13, 36, 3, 0]","[0, 12, 39, 2, 0]","[0, 25, 75, 5, 0]",Arusha,Arusha
